2 | 818.189 | 2022-02-15 06:35:44 | Oczekuje
4 | 818.224 | 2022-02-15 06:35:48 | Oczekuje
6 | 818.186 | 2022-02-15 06:35:49 | Oczekuje
8 | 818.213 | 2022-02-15 06:35:50 | Oczekuje
10 | 818.97 | 2022-02-15 06:35:50 | Oczekuje
1 | 818.139 | 2022-02-15 06:35:51 | Oczekuje
3 | 818.196 | 2022-02-15 06:35:52 | Oczekuje
5 | 818.782 | 2022-02-15 06:35:52 | Oczekuje
7 | 818.195 | 2022-02-15 06:35:52 | Oczekuje
9 | 818.714 | 2022-02-15 06:35:53 | Oczekuje
10 | 818.97 | 2022-02-18 12:53:19 | Oczekuje
8 | 818.213 | 2022-02-18 12:53:22 | Oczekuje
1 | 818.139 | 2022-02-18 13:17:31 | Oczekuje
2 | 818.189 | 2022-02-18 13:17:44 | Oczekuje
2 | 818.189 | 2022-02-18 13:17:48 | Oczekuje
3 | 818.196 | 2022-02-18 13:17:49 | Oczekuje
10 | 818.97 | 2022-02-18 13:17:52 | Oczekuje
1 | 818.139 | 2022-02-18 13:17:57 | Oczekuje
1 | 818.139 | 2022-02-18 13:20:04 | Oczekuje
1 | 818.139 | 2022-02-18 13:22:10 | Oczekuje
1 | 818.139 | 2022-02-18 13:23:57 | Oczekuje
2 | 818.189 | 2022-02-18 13:24:01 | Oczekuje
3 | 818.196 | 2022-02-18 13:24:03 | Oczekuje
1 | 818.139 | 2022-02-18 13:24:05 | Oczekuje
1 | 818.139 | 2022-02-18 13:28:05 | Oczekuje
4 | 818.224 | 2022-02-18 13:28:08 | Oczekuje
1 | 818.139 | 2022-02-18 13:32:41 | Oczekuje
1 | 818.139 | 2022-02-18 13:32:46 | Oczekuje
2 | 818.189 | 2022-02-18 13:32:49 | Oczekuje
1 | 818.139 | 2022-02-18 13:33:44 | Oczekuje
1 | 818.139 | 2022-02-18 13:33:52 | Oczekuje
1 | 818.139 | 2022-02-18 13:34:26 | Oczekuje
2 | 818.189 | 2022-02-18 13:34:29 | Oczekuje
1 | 818.139 | 2022-02-18 13:37:57 | Oczekuje
2 | 818.189 | 2022-02-18 13:37:59 | Oczekuje
2 | 818.189 | 2022-02-18 13:47:57 | Oczekuje
1 | 818.139 | 2022-02-18 13:57:00 | Oczekuje
2 | 818.189 | 2022-02-18 13:58:34 | Oczekuje
1 | 818.139 | 2022-02-18 14:01:00 | Oczekuje
3 | 818.196 | 2022-02-18 14:01:00 | Oczekuje
6 | 818.186 | 2022-02-18 14:01:02 | Oczekuje
1 | 818.139 | 2022-02-18 14:02:03 | Oczekuje
2 | 818.189 | 2022-02-18 14:04:00 | Oczekuje
1 | 818.139 | 2022-02-18 14:05:48 | Oczekuje
2 | 818.189 | 2022-02-18 15:23:11 | Oczekuje
2 | 818.189 | 2022-02-18 15:23:11 | Oczekuje
2 | 818.189 | 2022-02-18 15:36:17 | Oczekuje
4 | 818.224 | 2022-02-18 15:38:21 | Oczekuje
1 | 818.139 | 2022-02-18 15:38:31 | Oczekuje
3 | 818.196 | 2022-02-18 15:38:33 | Oczekuje
6 | 818.186 | 2022-02-18 15:38:34 | Oczekuje
6 | 818.186 | 2022-02-18 15:38:39 | Oczekuje
2 | 818.189 | 2022-02-18 15:40:12 | Oczekuje
2 | 818.189 | 2022-02-18 16:00:38 | Oczekuje
3 | 818.196 | 2022-02-18 16:00:44 | Oczekuje
4 | 818.224 | 2022-02-18 16:00:45 | Oczekuje
2 | 818.189 | 2022-02-20 14:42:53 | Oczekuje
4 | 818.224 | 2022-02-20 14:44:17 | Oczekuje
2 | 818.189 | 2022-02-20 14:44:22 | Oczekuje
3 | 818.196 | 2022-02-20 14:44:24 | Oczekuje
1 | 818.139 | 2022-02-20 14:44:24 | Oczekuje
5 | 818.782 | 2022-02-20 14:44:25 | Oczekuje
1 | 818.139 | 2022-02-20 14:50:32 | Oczekuje
2 | 818.189 | 2022-02-20 14:50:34 | Oczekuje
4 | 818.224 | 2022-02-20 14:50:34 | Oczekuje
10 | 818.97 | 2022-02-20 15:01:05 | Oczekuje
